genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Chromatocurvus halotolerans,1132028,EG19,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Chromatocurvus,,63,,AM691086,55.9,7
Pontibacter toksunensis,1332631,ZLD-7,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,,47.8,,KC894746,56.7,7
Diaphorobacter polyhydroxybutyrativorans,1546149,SL-205 ,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,GCA_002214645.1,66.7,4.1,JX974341,55.3,7
Vibrio maritimus,990268,R-40493,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,46.3,,GU929925,53.7,7
Labrenzia polysiphoniae ,2571221,KMM 9699,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Labrenzia,,57.3,,LC381921,55.4,7
Bacillus nitratireducens,2026193,4049,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,35.3,,KJ812430,53.4,7
Clostridium puniceum,29367,BL 70/20,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,28.5,,X71857,52.4,7
Pseudonocardia antarctica,237656,DVS 5a1,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,71,,AJ576010,59.2,7
Thiothrix caldifontis,525918,G1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,,52,,EU642573,54.6,7
Chryseobacterium bovis,421530,H9,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,38.6,,EF204446,50.8,7
Pontibacter chitinilyticus,2674989,17gy-14,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,,48.7,,KY924850,55.5,7
Leifsonia aquatica,144185,150,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,,70.3,,D45057,55.7,7
Edaphobacter lichenicola,2051959,SBC68,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,,54.7,,MG385062,53.9,7
Agromyces albus,205332,UCM Ac-623,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,,69,,AF503917,56.2,7
Microbacterium faecale,1804630,YIM 101168,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,,69.7,,KT756666,56.3,7
Marinobacterium maritimum,500162,AR11,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,,57.9,,EU399548,55.1,7
Sphingomonas molluscorum,418184,KMM 3882,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,68.3,,AB248285,54.8,7
Okibacterium fritillariae,123320,VKM Ac-2059,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Okibacterium,,67,,AB042094,55.6,7
Giesbergeria voronezhensis,314200,D-419,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Giesbergeria,,58.9,,AY780905,54.6,7
Giesbergeria kuznetsovii,314202,D-412,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Giesbergeria,,56.5,,AY780907,54.6,7
Simiduia litorea,1435348,KMM 9504,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Simiduia,,50.3,,AB894237,54.4,7
Chelativorans oligotrophicus,449974,LPM-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Chelativorans,,60.8,,EF457242,57.2,7
Diaphorobacter oryzae,491745,RF3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,,62.9,,EU342381,55,7
Paraglaciecola mesophila,197222,KMM 241,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,GCA_009906955.1,43.9,5,AJ488501,52.1,7
Halomonas halocynthiae,176290,KMM 1376,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,54,,AJ417388,54.9,7
Psychrobacter marincola,154109,KMM277,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,,50.7,,AJ309941,52.9,7
Pseudoalteromonas agarivorans,176102,KMM 255,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_002310855.1,40.9,4.5,AJ417594,53.4,7
Sphingobium endophyticum,1395957,GZGR-4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,63.6,,KF551123,53.9,7
Solirubrobacter taibaiensis,1395955,GTJR-20,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,,71.6,,KF551107,58.6,7
Rhizobacter bergeniae,1395940,PLGR-1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Rhizobacter,,69.8,,KF551137,55.5,7
Taibaiella smilacinae,1303085,PTJT-5,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Taibaiella,,40.3,,KC571459,50.7,7
Humibacillus xanthopallidus,412689,KV-663,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Humibacillus,,69.5,,AB282888,57.6,7
Flavivirga rizhaonensis,2559571,RZ03,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavivirga,,32.2,,MK311254,50,7
Gracilibacillus halotolerans,74386,NN,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,,38,,AF036922,55.2,6
Alkalibacter saccharofermentans,235931,Z-79820,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Alkalibacter,,42.1,,AY312403,53.3,6
Pontibacter lucknowensis,1077936,DM9,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,,49.2,,JN561788,57.4,6
Echinicola vietnamensis,390884,KMM 6221,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,GCA_000325705.1,44.8,5.6,AM406795,56.2,6
Cohnella kolymensis,1590652,20.16,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,,50.5,,KT265226,56.3,6
Pontibacter actiniarum,323450,KMM 6156,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,GCA_003585765.1,53.1,5,AY989908,58,6
Promicromonospora citrea,43677,ATCC 15908,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,,73.6,,X83808,57.8,6
Echinicola pacifica,346377,KMM6172,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,,44.5,,DQ185611,53.5,6
Bacillus chagannorensis,427072,CG15,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,53.8,,AM492159,56.7,6
Alkaliphilus peptidifermentans,426129,Z-7036,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,,33.8,,EF382660,53.3,6
Fructobacillus ficulneus,157463,FS-1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,,43.4,,AF360736,51.7,6
Fructobacillus fructosus,1631,IFO 3516,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,,42.6,,AF360737,51.6,6
Marinicauda pacifica,1133559,P-1 km-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Marinicauda,,66,,JQ045549,55.7,6
Flavobacterium anatoliense,1017018,MK3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,38.6,,JF825522,49.1,6
Lactococcus petauri,1940789,159469,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,GCA_009662295.1,38.2,2,KY548925,51.9,6
Bacillus depressus,1602942,BZ1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,44.5,,KP259553,54.7,6
Phyllobacterium salinisoli,1899321,LLAN61,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium,,58,,LT614649,56,6
Pedobacter xixiisoli,1476464,S27,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,36.1,,KJ150595,53.7,6
Flavobacterium palustre,1476463,S44,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,33.6,,KJ150599,50.7,6
Myroides phaeus,702745,MY15,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,,34.3,,GU253339,49,6
Agromyces subbeticus,293890,NZ_ATXG0NZ_ATXG00000000,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,,71.2,,AY737778,56,6
Pontibacter aydingkolensis,1911536,XAAS-1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,,52.1,,KX530203,57.3,6
Pseudokineococcus lusitanus,763993,T2A-S27,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Pseudokineococcus,,76.9,,FN824365,59.7,6
Pseudomonas gallaeciensis,857227,V113,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,61.2,,FN995250,53.4,6
Spongiispira norvegica,1123225,Gp_4_7.1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Spongiispira,,62.6,,AM117931,52.5,6
Lactobacillus wasatchensis,1335616,WDC04,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,39.8,,NR_147709,51.4,6
Pseudoalteromonas arabiensis,874454,k53,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,43,,AB576636,53,6
Thiothrix nivea,1031,JP2,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,,52,,L40993,54.8,6
Pseudahrensia todarodis,1532856,KHS02,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Pseudahrensia,,58.6,,KM273259,53.7,6
Kitasatospora gansuensis,258050,HKI 0314,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora,,,,AY442265,58.1,6
Methylocapsa palsarum,1612308,NE2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocapsa,,61.7,,KP715289,55,6
Bryocella elongata,863522,SN10,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Bryocella,,60.7,,FR666706,54.7,6
Telmatocola sphagniphila,1123043,Sp2,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmataceae,Telmatocola,,58.8,,JN880417,54.1,6
Flavobacterium reichenbachii,362418,WB 3.2-61,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34.3,,AM177616,51.1,6
Paludisphaera borealis,1387353,PX4,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Paludisphaera,GCA_001956985.1,66.2,7.7,KF467528,61,6
Pedobacter hartonius,425514,WB 3.3-3,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,,,AM491371,50.5,6
Photobacterium frigidiphilum,264736,SL13,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,,43.8,,AY538749,53.8,6
Bacillus beveridgei,632773,MLTeJB,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_001721685.1,46.1,3.6,FJ825145,55.5,5
Glycomyces halotolerans,942029,TRM 40137,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,,68.8,,HQ651156,59.5,5
Roseomonas alkaliterrae,1452450,YIM 78007,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,,63,,KF771274,59.4,5
Bacillus mojavensis,72360,Cohan RO-H-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,43,,AB021191,55.2,5
Bacillus atrophaeus,1452,NRRL NRS-213 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_002243495.1,43.3,4.3,AB021181,55.4,5
Bacillus subtilis,1423,ATCC 6051,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,44.5,,AB042061,55.1,5
Halanaerobacter lacunarum,46470,Z-7888,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halanaerobacter,,32.4,,U32593,51.3,5
Halomonas alkaliphila,272774,18bAG,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_003612795.1,52.7,4,AJ640133,55.8,5
Halanaerobium praevalens,2331,GSL,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,GCA_000165465.1,30.3,2.3,AB022034,51.8,5
Marinitalea sucinacia,569126,JC2131,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Marinitalea,,43.7,,FJ387163,50.1,5
Bacillus crassostreae,929098,JSM 100118,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,35.9,,HQ419276,53.9,5
Halomonas denitrificans,370769,M29,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,54.5,,AM229317,55.5,5
Bacillus vallismortis,72361,DV1-F-3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_004116955.1,43.8,4.3,AB021198,55.2,5
Paenibacillus validus,44253,JCM 9077,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,51,,AB073203,55.8,5
Oceanobacillus polygoni,1235259,SA9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,,40.6,,AB750685,54.3,5
Bacillus polygoni,425933,YN-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,42.9,,AB292819,56.3,5
Pseudoscardovia radai,987066,DPVI/TET3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Pseudoscardovia,,37,,HQ842704,62.9,5
Thalassobacillus cyri,571932,HS286,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Thalassobacillus,,43,,FM864226,55.4,5
Bifidobacterium crudilactis,327277,FR62/b/3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,56.4,,AY952449,56.1,5
Actibacter sediminis,449463,JC2129,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Actibacter,,44,,EF670651,50.4,5
Chromohalobacter marismortui,42055,ATCC 17056,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,,63.5,,X87219,57.6,5
Larsenimonas suaedae,1851019,ST307,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Larsenimonas,,60.5,,FJ463811,56.6,5
Ferrovibrio denitrificans,664789,Sp-1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Ferrovibrio,,64.2,,GQ365620,56,5
Salinicoccus iranensis,393538,QW6,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,,54.4,,DQ767692,56.1,5
Alkalibacterium psychrotolerans,254784, IDR2-2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium,,40.6,,AB125938,53.1,5
Wohlfahrtiimonas larvae,1157986,KBL006,Bacteria,Proteobacteria,Gammaproteobacteria,,,Wohlfahrtiimonas,,45.2,,JN873914,51.4,5
Deinococcus aerophilus,522488,5516T-11 ,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,59.3,,EU622979,56.6,5
Amycolatopsis niigatensis,369932,LC11,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,,72.4,,AB248537,59,5
Amycolatopsis echigonensis,369930,LC2,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,,72.4,,AB248535,58.7,5
Chromohalobacter canadensis,141389,ATCC 43984,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,,62,,AJ295143,57,5
Pontibacter mucosus,1649266,PB3,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,,53.5,,KP861851,58.2,5
Pontibacter chinhatensis,1436961,LP51,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,,52.4,,KF723288,57.8,5
Sphingomonas zeicaulis,1632740,541,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,64.7,,KP172592,54,5
Bacillus butanolivorans,421767,K9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_003410415.1,38.2,5.6,EF206294,54.3,5
Persicobacter psychrovividus,387638,Asr22-19,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Persicobacteraceae,Persicobacter,,42.4,,AB260929,52.5,5
Halolactibacillus miurensis,306541,M23-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halolactibacillus,,38.5,,AB196784,53.7,5
Halotalea alkalilenta,376489, AW-7,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halotalea,GCA_001648175.1,64.3,4.4,DQ421388,56.3,5
Epibacterium mobile,379347,MBIC01146,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Epibacterium,GCA_000376545.2,58.7,4.8,AB255401,54.9,5
Alkalibacterium iburiense,290589,M3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium,,42.9,,AB188091,54,5
Kineococcus terrestris,2044856,YIM 121936,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,,74.7,,KX943588,59.4,5
Halomonas aestuarii,1897729,Hb3,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_001886615.1,67.9,3.5,KX090359,56.1,5
Deinococcus cellulosilyticus,401558,5516J-15,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,61.3,,DQ883809,54.8,5
Olivibacter sitiensis,376470,AW-6,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Olivibacter,,45.6,,DQ421387,58.3,5
Rummeliibacillus pycnus,101070,NRRL NRS-1691,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,,35,,AF169531,53.3,5
Viridibacillus neidei,101059,BD-87,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Viridibacillus,,35,,AF169520,51.8,5
Okibacterium endophyticum,1521118,EGI 650022,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Okibacterium,,66,,KM114213,56.2,5
Halomonas janggokensis,370767,M24,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,60.6,,AM229315,56.5,5
Halomonas gomseomensis,370766,M12,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,62.8,,AM229314,56.1,5
Alteromonas gracilis,1479524,9a2,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,,46.6,,AB920393,53,5
Bombiscardovia coagulans,686666,BLAPIII-AGV,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bombiscardovia,,46.6,,EU127550,57.3,5
Neptunicoccus sediminis,1892596,CY02 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Neptunicoccus,,57.5,,KY777997,53.6,5
Sphingobacterium deserti,1229276,ZW,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,44.9,,JX403964,53.9,5
Paenibacillus methanolicus,582686,BL24,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,52.1,,EU912465,54.2,5
Pseudomonas yangmingensis,1720063,CRS1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,59.6,,LN881559,53.9,5
Pseudomonas taiwanensis,470150,CMS,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,62.7,,EU103629,53.8,5
Pseudomonas duriflava,459528,HR2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,55.2,,EU046271,54.1,5
Salinisphaera shabanensis,180542,E1L3A,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,,61.8,,AJ421425,54.4,5
Jeotgalicoccus huakuii,589010,NY-,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,,36.8,,FJ158840,52.3,5
Paenibacillus profundus,1173085,Sl 79,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,,,AB712351,54.6,5
Chryseobacterium flavum,415851, CW-E 2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,37.2,,EF154516,49.8,5
Poseidonocella pacifica,871651,KMM 9010,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Poseidonocella,,60.5,,AB576005,55.6,5
Alkalicoccus halolimnae,1667239,BZ-SZ-XJ29,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalicoccus,,40,,KX618877,56.8,5
Lysobacter spongiicola,435289, KMM 329,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,69,,AB299978,56.1,5
Spiribacter curvatus,1335757,UAH-SP71,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,GCA_000485905.1,63.9,1.9,NR_145887,56.9,5
Idiomarina aquatica,1327752,SN-14,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,49.2,,HF954116,54,5
Exiguobacterium alkaliphilum,1428684,12墩1휑,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,,55.6,,EU379016,56.7,5
Marinimicrobium haloxylanilyticum,681634,SX15,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,,60,,GQ920839,55,5
Marivivens niveibacter,1930667,HSLHS2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivivens,,54.6,,KY020996,54.3,5
Larkinella soli,1770527,MIMbqt9,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Larkinella,,57.6,,KT347099,58.6,5
Aureimonas glaciistagni,1541956,PAMC 27157,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aureimonas,,69.1,,KM273177,56,5
Novosphingobium chloroacetimidivorans,1428314,BUT-14,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,66,,KF676669,54.6,5
Mariniluteicoccus flavus,1397367,YIM M13146,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Mariniluteicoccus,,67.2,,KF564278,57.4,5
Defluviimonas aestuarii,1130726,BS14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Defluviimonas,,61.6,,JN642270,54.7,5
Bacillus hunanensis,766894,JSM 081003,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,40.9,,HM054473,54.9,5
