genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Calorithrix insularis,1852309,KR,Bacteria,Calditrichaeota,,,,Calorithrix,,47.3,,KU306340,56.3,35
Crenotalea thermophila,1393122,STH-1-Y1 ,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Crenotalea,,46.6,,AB849120,55.4,35
Melioribacter roseus,1134405,P3M-2,Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,Melioribacter,GCA_000279145.1,41.3,3.3,JQ292917,55,35
Tepidimonas fonticaldi,1101373,AT-A2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Tepidimonas,,70.1,,JN713899,56.6,35
Tepidimonas taiwanensis,307486,I1-1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Tepidimonas,,68.1,,AY845054,57.3,35
Caldimonas taiwanensis,307483,Onl,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Caldimonas,,65.9,,AY845052,57.1,35
Alicyclobacillus vulcanalis,252246,CsHg2,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,62,,AB222267,60.1,35
Tepidiphilus succinatimandens,224436,4BON,Bacteria,Proteobacteria,Hydrogenophilalia,Hydrogenophilales,Hydrogenophilaceae,Tepidiphilus,,58.6,,AY219713,59.2,35
Meiothermus cerbereus,65552,GY-1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,,60.9,,Y13594,57.9,35
Bacillus methanolicus,1471,PB1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_000724485.1,38.6,3.4,X64465,55.7,35
Raineya orbicola,2016530,SPSPC-11,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Raineyaceae,Raineya,,37.6,,KY990922,53.3,35
Bacillus sediminis,1274353,DX-5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,46.6,,KC311559,56.1,35
Desulfothermus okinawensis,392842,TFISO9,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfothermus,,34.9,,AB264617,58.2,35
Desulfotomaculum thermosapovorans,58137,MLF,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfallas,,51.2,,NR_044948,57.4,35
Halopiger thermotolerans,1383816,SR-441,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,,63.5,,AB844674,59.2,35
Alicyclobacillus contaminans,392016,3-A191,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,60.6,,AB264026,58.2,35
Alicyclobacillus macrosporangiidus,392015,5-A239쭯2O-A,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,62.5,,AB264025,59.4,35
Alicyclobacillus shizuokensis,392014,4-A336,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,60.5,,AB264024,60.2,35
Aciditerrimonas ferrireducens,667306,IC-180,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Aciditerrimonas,,74.1,,AB517669,61.2,35
Meiothermus hypogaeus,884155,AZM34c11,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,,63.4,,AB586707,57.1,35
Natranaerobius thermophilus,375929,JW/NM-WN-LF,Bacteria,Firmicutes,Clostridia,Natranaerobiales,Natranaerobiaceae,Natranaerobius,GCA_000020005.1,36.3,3.2,DQ417202,57.7,35
Heliothrix oregonensis,1110, IS/F-I,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Heliothrix,,,,L04675,60.6,35
Meiothermus terrae,1408545,YIM 77755,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,,68.9,,KF603888,63.2,35
Thermophagus xiamenensis,385682,HS-1,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Thermophagus,,38.7,,DQ517535,52.7,35
Methanolinea tarda,263906,NOBI-1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,,56.3,,AB162774,57.1,35
Methanosarcina thermophila,2210,TM-1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,GCA_000969885.1,41.1,3.1,M59140,55.1,35
Tepidibacter formicigenes,227138,DV1184,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Tepidibacter,,29,,AY245527,54.1,35
Natrialba swarupiae,2448032,ESP3B_9,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,,62.5,,MN378559,58.5,35
Haloterrigena mahii,1416969,H13,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,,65.1,,KY349160,58.6,35
Alicyclobacillus acidoterrestris,1450,GD3B,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,51.6,,AB042057,57.1,35
Aneurinibacillus danicus,267746,NCIMB 13288,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,,46.7,,AB112725,56.9,35
Halarchaeum grantii,1193105,MH1-243-3,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,,65.2,,AB698662,57.7,35
Halorubrum tebenquichense,119434,ALT6-92,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,63.2,,AJ276887,56.1,35
Halomicrobium katesii,437163,Al-5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,,52.4,,EF533994,57.6,35
Anaerostipes butyraticus,645466,12966,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,44,,FJ947528,54,35
Bifidobacterium lemurum,1603886,LMC 13 ,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,57.2,,KJ658281,59.4,35
Caproiciproducens galactitolivorans,642589,BS-1 ,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens,,50,,FJ805840,54.1,35
Methanobrevibacter boviskoreani,1348249,JH1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,28,,KC608769,53.1,35
Mageeibacillus indolicus,884684,BAA-2120 ,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Mageeibacillus,GCA_000025225.2,44.2,1.8,GQ900632,52.8,35
Bifidobacterium eulemuris,1765219,LMM_E3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,62.3,,KP979748,59.4,35
Agathobaculum desmolans,39484,ATCC 43058,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,,48.5,,L34618,53.1,35
Thermoanaerobacter sulfurigignens,120958,JW/SL-NZ826,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,34.5,,AF234164,58.6,34
Anaerobranca horikoshii,42448,JW/YL-138,Bacteria,Firmicutes,Clostridia,Clostridiales,Proteinivoraceae,Anaerobranca,,33.5,,U21809,52.6,34
Thiomonas thermosulfata,40991, ATCC 51520,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Thiomonas,,61,,U27839,54.6,34
Anaerobranca zavarzinii,436000,JW/VK-KS5Y,Bacteria,Firmicutes,Clostridia,Clostridiales,Proteinivoraceae,Anaerobranca,,32.5,,EF190921,53.4,34
Brevibacillus thermoruber,33942,BT2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,57,,AB112722,56.7,34
Acidimicrobium ferrooxidans,53635,ICP ,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,GCA_000023265.1,68.3,2.2,U75647,60.3,34
Thermochromatium tepidum,1050,MC,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thermochromatium,GCA_009664085.1,63.4,3,M59150,56.6,34
Isosphaera pallida,128,IS1B,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Isosphaera,GCA_000186345.1,62.4,5.5,AJ231195,62,34
Acetitomaculum ruminis,2382,139B,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetitomaculum,,34,,M59083,54.1,34
Mycoplasma tullyi,1612150,56A97T,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,,,NR_158114,46.3,34
Kosmotoga pacifica,1330330,SLHLJ1,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,,43.7,,KC119212,60.3,33
Thermoanaerobacter uzonensis,447593,JW/IW010,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,33.6,,EF530067,57.9,33
Thermoplasma volcanium,50339,GSS1,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,GCA_000011185.1,39.9,1.6,NR_074223,54.7,33
Nautilia abyssi,498371,PH1209,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Nautilia,,35,,AM937002,57.2,33
Ureibacillus thermosphaericus,51173,DSM 10633,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Ureibacillus,GCA_002370195.2,36.3,3.5,X90640,55.2,33
Caloramator viterbiensis,112729,?JW/MS-VS5,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,,32,,AF181848,55.3,33
Desulfurella propionica,79271,U-8,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,,32.2,,Y16942,53.9,33
Tepidibacter thalassicus,214905,SC 562,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Tepidibacter,,24,,AY158079,54.9,33
Chloroflexus islandicus,1707952,isl-2,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,,59.7,,NR_148571,64.1,33
Desulfotomaculum alcoholivorax,265477,RE35E1,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfallas,,48,,AY548778,56.8,33
Anaerobiospirillum thomasii,179995,NCTC 12467,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,,40,,AJ420985,53.6,33
Methanobrevibacter millerae,230361,ZA-10,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,GCA_001477655.1,31.8,2.5,AY196673,53.1,33
Mycobacterium ahvazicum,1964395,AFP-003,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,66.2,,LT797535,57.8,33
Nitrospira moscoviensis,42253,M-1 ,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,GCA_001273775.1,62,4.6,X82558,57.8,33
Alysiella filiformis,194196,ATCC 15532,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Alysiella,,46,,AF487710,53.5,33
Ruminococcus champanellensis,1161942,18P13,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,,53.1,,AJ515913,51.5,33
Thermobacillus composti,377615,KWC4,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,GCA_000227705.3,60.1,4.4,AB254031,58,32
Acidithiobacillus caldus,33059,KU,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,GCA_000175575.2,61.4,3,Z29975,57.9,32
Alkaliphilus oremlandii,461876,OhILAs,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,GCA_000018325.1,,3.1,DQ250645,54.1,32
Thiomicrorhabdus chilensis,63656,Ch-1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrorhabdus,,49.9,,AF013975,51.2,32
Anaerococcus pacaensis,1465826,9403502,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,,35.1,,HM587325,49.9,32
Fenollaria massiliensis,938288,9401234,Bacteria,Firmicutes,Clostridia,Clostridiales,,Fenollaria,,36.5,,HM587321,49.5,32
Centipeda periodontii,82203,LL2383,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Centipeda,,52.5,,AJ010963,54.1,32
Thermosporothrix hazakensis,644383,SK20-1 ,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Thermosporotrichaceae,Thermosporothrix,,54,,AB500145,58.4,31
Hyphomonas jannaschiana,86,VP2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,,60,,AF082789,53.7,31
Mycoplasma enhydrae,2499220,16011,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,32.8,,MF351868,46,31
Thiomicrorhabdus frisia,63655,JB-A2,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrorhabdus,,39.6,,AF013974,50.5,31
Anoxybacillus mongoliensis,452565,T4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,,44.2,,NR_116097,56.6,30
Anoxybacillus tengchongensis,576944,T-11,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,,41.1,,FJ438370,56.4,30
Ardenticatena maritima,872965,110S,Bacteria,Chloroflexi,Ardenticatenia,Ardenticatenales,Ardenticatenaceae,Ardenticatena,,51.5,,AB576167,61.8,30
Anoxybacillus flavithermus,33934,DSM 2641,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,GCA_000019045.1,41.8,2.8,AF004589,56.1,30
Deferrisoma palaeochoriense,1573172,MAG-PB1,Bacteria,Proteobacteria,Deltaproteobacteria,,,Deferrisoma,,66.7,,KM386664,61.2,30
Rubrobacter taiwanensis,185139,LS-293,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,,68.5,,AF465803,60.4,30
Brassicibacter thermophilus,1548890,Cel2f ,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Brassicibacter,,31.3,,KM277820,54.5,30
Desulfotomaculum nigrificans,1565,ATCC 19998,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,GCA_000214435.1,46.6,2.9,X62176,55.6,30
Anoxybacillus ayderensis,265546,AB04,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,,54,,AF001963,56.7,30
Marinitoga okinawensis,389480,TFS10-5,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,,28,,AB262395,57.2,30
Methanothrix thermoacetophila,2224,PT,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae,Methanothrix,,53.3,,CP000477,57.8,30
Thermoanaerobacterium thermosaccharolyticum,1517,ATCC 7956,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,GCA_000145615.1,34.1,2.8,M59119,51.9,30
Thermostilla marina,1742923,SVX8,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Thermostilla,,58.5,,KR872395,57.9,30
Caloramator proteoclasticus,53342,U,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,,31,,X90488,56.8,30
Lebetimonas acidiphila,267990,Pd55,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Lebetimonas,,34,,AB167820,57.3,30
Oceanithermus desulfurans,227924,St55B,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Oceanithermus,,71.1,,AB107956,62.7,30
Keratinibaculum paraultunense,1278232,KD-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Keratinibaculum,,28,,kc188660,53.7,30
Bacillus borbori,1245521,DX-4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,38.6,,JX274440,56,30
Calditerrivibrio nitroreducens,477976,Yu37-1,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Calditerrivibrio,GCA_000183405.1,35.7,2.2,AB364234,56,30
Novibacillus thermophilus,1471761,SG-1 ,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Novibacillus,GCA_002005165.1,50.4,3.6,KF958346,59.4,30
Anaerobranca gottschalkii,108328,LBS3,Bacteria,Firmicutes,Clostridia,Clostridiales,Proteinivoraceae,Anaerobranca,,,,AF203703,53.5,30
Methanoculleus receptaculi,394967,ZC-2,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,,55.2,,DQ787476,56.9,30
Dissulfurimicrobium hydrothermale,1750598,Sh68,Bacteria,Proteobacteria,Deltaproteobacteria,,,Dissulfurimicrobium,,49,,KT159733,55.4,30
Anoxybacillus voinovskiensis,230470,TH13,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,,43.9,,AB110008,55.7,30
Sinibacillus soli,1289106,GD05,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Sinibacillus,,43.7,,KC404830,55.4,30
Natribaculum longum,1419051,TRM20345 ,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natribaculum,,63.8,,KF739019,59.6,30
Natribaculum breve,1419050,TRM20010 ,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natribaculum,,63.9,,KF739011,60.1,30
Bacillus coagulans,1398,ATCC 7050,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_001039495.1,46.2,3.7,D16267,56.2,30
Haloterrigena limicola,370323,AX-7,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,,61.9,,DQ367241,58.2,30
Athalassotoga saccharophila,1441386,NAS-01,Bacteria,Thermotogae,Thermotogae,Mesoaciditogales,Mesoaciditogaceae,Athalassotoga,GCA_009936215.1,40.4,2,AB898788,55.9,30
Caldimonas hydrothermale,391358,HAN-85,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Caldimonas,,68.3,,AM283038,57,30
Thermogutta hypogea,1331911,SBP2,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Thermogutta,,66.6,,KC867695,57.7,30
Thermosporothrix narukonensis,1445971,F4,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Thermosporotrichaceae,Thermosporothrix,,52.5,,AB900623,58.2,30
Kroppenstedtia guangzhouensis,1274356,GD02,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Kroppenstedtia,,56.3,,KC311557,59.9,30
Compostibacillus humi,1245525,DX-3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Compostibacillus,,43.5,,JX274434,55.2,30
Bacillus composti,1245523,SgZ-9 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,45.3,,JX274437,55.8,30
Schleiferia thermophila,884107,TU-20 ,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Schleiferiaceae,Schleiferia,,42.8,,HQ172900,54.6,30
Schlegelella aquatica,376175,wcf1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,,69.2,,DQ417336,57.9,30
Mahella australiensis,252966,50-1 BON,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family IV. Incertae Sedis,Mahella,GCA_000213255.1,43.5,3.1,AY331143,54.6,30
Thermomonas hydrothermalis,213588,SGM-6,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,,64.7,,AF542054,57.4,30
Methanonatronarchaeum thermophilum,1927129,AMET1,Archaea,Euryarchaeota,Methanonatronarchaeia,Methanonatronarchaeales,Methanonatronarchaeaceae,Methanonatronarchaeum,,38,,KY449317,56.8,30
Sporohalobacter salinus,1494606, CEJFT1B,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Sporohalobacter,,32.3,,KJ477328,53.7,30
Desulfotomaculum profundi,1383067,Bs107,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,,48.7,,KF591694,55.3,30
Cohnella laeviribosi,380174, RI-39,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,,51,,DQ459874,57.1,30
Desulfonauticus submarinus,206665,6N,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonauticus,,34.4,,AF524933,57.7,30
Geotoga subterranea,28235,T5,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Geotoga,,30,,L10659,53.5,30
Ferroplasma thermophilum,424696,L1,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,,34.1,,EF062309,51.6,30
