genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Hydrogenothermus marinus,133270,VM1,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Hydrogenothermus,,43,,AJ292525,58.3,45
Methanothermobacter crinale,1045764,Tm2,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,,40.1,,HQ283273,59.1,45
Balnearium lithotrophicum,223788,17S,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,,34.6,,AB105048,53.1,45
Thermoanaerobacter italicus,108150,Ab9,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,GCA_000025645.1,34.1,2.5,AJ250846,59.1,45
Thermomicrobium roseum,500,ATCC 27502,Bacteria,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,GCA_000021685.1,64.3,2.9,M34115,65.5,45
Caldisphaera lagunensis,200415,IC-154,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,GCA_000317795.1,30,1.5,AB087499,61.7,45
Thermus igniterrae,88189,RF-4 ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,70.3,,Y18416,64.6,45
Fervidobacterium gondwanense,44754,AB39,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,35,,Z49117,59.8,45
Thermus islandicus,540988,PRI3838,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,69,,EU753247,63.4,45
Hydrogenobaculum acidophilum,34092, 3H-1,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum,,35,,D16296,54.5,45
Thermovenabulum ferriorganovorum,159731,Z-9801,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermovenabulum,,36,,AY033493,59.1,45
Venenivibrio stagnispumantis,407998,CP.B2,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Venenivibrio,,29.3,,DQ989208,57.5,45
Thermosipho geolei,117503,SL31,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,31,,AJ272022,60.1,45
Acidianus brierleyi,41673,DSM 3191,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_003201835.1,31.9,2.9,X90477,60.4,45
Thermohydrogenium kirishiense,937254,ZE-7,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Thermohydrogenium,,33.6,,NR_104808,54.6,45
Kosmotoga shengliensis,501340,2SM-2,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,,36.4,,EU276414,61.7,45
Hippea alviniae,1279027,EP5-r,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea,,37.1,,FR754500,58.7,45
Desulfotomaculum salinum,314583,435,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,,50.7,,AY918122,59.1,45
Thermogemmatispora foliorum,732235,ONI-5 ,Bacteria,Chloroflexi,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,Thermogemmatispora,,58.1,,AB547913,63,45
Thermodesulfitimonas autotrophica,1894989,SF97,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermodesulfitimonas,,55.8,,KX450231,60,45
Caldanaerobius polysaccharolyticus,44256,KMTHCJ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobius,,46,,U40229,56.6,45
Limisphaera ngatamarikiensis,1324935,NGM72.4 ,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobia subdivision 3,Limisphaera,,65.6,,HF947551,61.1,45
Marinitoga arctica,1862713,2PyrY55-1,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,,27,,KX024844,57.6,45
Marinitoga piezophila,149715,KA3,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,GCA_000255135.1,29.2,2.2,AF326121,58.1,45
Thermohalobacter berrensis,99594,CTT3,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Thermohalobacter,,33,,AF113543,57.2,45
Thermodesulfovibrio islandicus,53423,R1Ha3,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio,,38,,X96726,57.3,45
Marinitoga litoralis,570855,MC3,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,,26.2,,FM253687,56.7,45
Caloramator australicus,515264,RC3,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,,34,,EU409943,57.2,45
Thermoleophilum minutum,192994,YS\4,Bacteria,Actinobacteria,Thermoleophilia,Thermoleophilales,Thermoleophilaceae,Thermoleophilum,,70,,AJ458464,63.1,45
Thermodesulfovibrio aggregans,86166,TGE-P1 ,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio,,35.2,,AB021302,58.2,45
Thermoleophilum album,29539,HS\5,Bacteria,Actinobacteria,Thermoleophilia,Thermoleophilales,Thermoleophilaceae,Thermoleophilum,,70.4,,AJ458462,63.1,45
Thermoanaerobacterium xylanolyticum,29329,LX-11 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,GCA_000189775.3,35,2.5,L09172,53.9,45
Thermoanaerobacterium saccharolyticum,28896,B6A-RI ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,,36,,L09169,54.3,45
Methanothermobacter marburgensis,145263,Marburg ,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,GCA_000145295.1,48.6,1.6,X15364,57.9,45
Anaerobranca californiensis,182411,PAOHA-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Proteinivoraceae,Anaerobranca,,30,,AY064217,52.9,45
Fonticella tunisiensis,1096341,BELH25,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Fonticella,,37.2,,HE604099,55.6,45
Caminibacter mediatlanticus,291048,TB-2,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Caminibacter,,25.6,,AY691430,58.2,45
Methanothermobacter thermoflexus,49340,IDZ,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,,55,,X99047,57.7,45
Alicyclobacillus acidocaldarius,405212,104-1A,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,GCA_000024285.1,61.9,3.2,AB042056,59.9,45
Thermanaerovibrio velox,108007, Z-9701,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio,,54.6,,AF161069,57.6,45
Geobacillus thermoleovorans,33941,ATCC 43513,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,GCA_001610955.1,52.3,3.5,M77488,59.1,45
Geobacillus thermodenitrificans,33940,DSM 465,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,GCA_000015745.1,48.9,3.6,Z26928,58.4,45
Thermincola ferriacetica,281456,Z-0001,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Thermincola,,47.8,,AY631277,56.2,45
Cetia pacifica,1424653,TB-6,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Cetia,,36.8,,KF648717,58.8,45
Bacillus manusensis,2078954,Ma50-6,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,47.6,,MF582328,56.3,45
Halothermothrix orenii,31909,H168,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halothermothrix,GCA_000020485.1,37.9,2.6,L22016,57.6,45
Caloranaerobacter azorensis,116090,MV1087,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloranaerobacter,,27,,AJ272422,56.4,45
Methanothermobacter defluvii,49339,ADZ,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,,62.2,,X99046,57.8,45
Anoxybacillus amylolyticus,294699,MR3C,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,GCA_001634285.1,43.6,3.2,AJ618979,56.4,45
Herbivorax saccincola,1677857,GGR1,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Hungateiclostridium,,34.9,,LN868252,55,45
Caloramator boliviensis,568790,45B,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,,32.6,,FM244718,55.2,45
Petrotoga halophila,301141,MET-B,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Petrotoga,,34.6,,AY800102,53.9,45
Caldalkalibacillus thermarum,296745,HA6,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Caldalkalibacillus,,45.2,,AY753654,59.1,45
Deferribacter abyssi,213806,JR,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,,30.8,,AJ515882,59.2,45
Symbiobacterium thermophilum,2734,T,Bacteria,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium,GCA_000009905.1,,3.6,AB004913,60.6,45
Methanothermobacter thermophilus,49341,M,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,,44.7,,X99048,57.6,45
Kallotenue papyrolyticum,1325125,JKG1 ,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,Kallotenuaceae,Kallotenue,,72.4,,JX848544,65,45
Bellilinea caldifistulae,360411,GOMI-1,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea,,54.7,,AB243672,56.9,45
Caminibacter profundus,217041,CR,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Caminibacter,,32.1,,AJ535664,58.2,45
Pelotomaculum thermopropionicum,110500,SI,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Pelotomaculum,,52.8,,AB035723,57.8,45
Geobacillus jurassicus,235932,DS-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,,54.5,,AY312404,59.5,45
Mesoaciditoga lauensis,1495039,cd-1655R,Bacteria,Thermotogae,Thermotogae,Mesoaciditogales,Mesoaciditogaceae,Mesoaciditoga,,45,,JQ347593,57.4,45
Defluviitalea phaphyphila,1473580,Alg1,Bacteria,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae,Defluviitalea,,28,,KF775581,52.4,45
Caminicella sporogenes,166485,AM1114,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caminicella,,24.2,,AJ320233,54.6,45
Desulfotomaculum thermoacetoxidans,58136,CAMZ,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,,49.7,,NR_029336,58.2,45
Caldisalinibacter kiritimatiensis,1304284,L21-TH-D2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caldisalinibacter,,70.3,,KC608867,56.4,45
Thermoplasma acidophilum,2303,122쭯1B2,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,GCA_000195915.1,46,1.6,M38637,54.9,45
Herbinix hemicellulosilytica,1564487,T3/55 ,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Herbinix,,36.6,,LN626355,54.6,45
Desulfotomaculum thermobenzoicum,29376,TPO,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,,52.8,,AY007190,57.4,45
Tepidimonas sediminis,2588941,YIM 72259,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Tepidimonas,,71.6,,MF509190,58,45
Thermoactinomyces daqus,1329516,H-18 ,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoactinomyces,,49.1,,KF590624,59.6,45
Sporolituus thermophilus,608505,AeG ,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Sporolituus,,55.4,,FJ169187,56.9,45
Thermodesulfovibrio thiophilus,340095,TDV ,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio,,34,,AB231857,56.3,45
Syntrophothermus lipocalidus,86170,TGB-C1,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophothermus,GCA_000092405.1,51,2.4,AB021305,56.6,45
Rubrobacter spartanus,1933902,HPK2-2,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,,,,KY441442,60.4,45
Roseiflexus castenholzii,120962,HLO8,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,GCA_000017805.1,60.7,5.7,AB041226,63.6,45
Thermocrinis ruber,75906,OC 1/4 ,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,GCA_000512735.1,45.2,1.5,AJ005640,61.9,44
Caldicoprobacter oshimai,551788,JW/HY-331,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,,45.4,,AB450762,58.2,44
Thermosipho activus,1462921,Rift-s3 ,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,30,,KF931642,60.8,44
Thermoanaerobacter sulfurophilus,74714,L-64,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,30.5,,Y16940,58.6,44
Thermodesulforhabdus norvegica,39841,A8444,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,,51,,U25627,59.3,44
Anoxybacter fermentans,1323375,DY22613,Bacteria,Firmicutes,Clostridia,Halanaerobiales,,Anoxybacter,GCA_003991135.1,35.9,3.6,KC794015,57.2,44
Chloracidobacterium thermophilum,458033,B,Bacteria,Acidobacteria,Blastocatellia,,,Chloracidobacterium,GCA_000226295.1,61.3,3.7,NR_074296,54.8,44
Thermosediminibacter oceani,291990,JW/IW-1228P,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermosediminibacter,GCA_000144645.1,46.8,2.3,AY703478,60,43
Thermosediminibacter litoriperuensis,291989,JW/YJL-1230-7/2 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermosediminibacter,,50,,AY703479,60.8,43
Parageobacillus caldoxylosilyticus,81408,S1812,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Parageobacillus,,44,,AF067651,57.8,43
Rubrobacter naiadicus,1392641,RG-3,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,,66.6,,KF494339,61.2,43
Rubrobacter calidifluminis,1392640,RG-1,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,,65.3,,KF494338,61.5,43
Moorella glycerini,55779,JW/AS-Y6,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,,54.5,,U82327,58.9,43
Caldilinea tarbellica,859243,D1-25-10-4,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,,61.9,,HM134893,58.6,43
Caldicellulosiruptor bescii,31899,Z-1320,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000022325.1,35.2,2.9,NR_074788,58.7,42
Desulfurella multipotens,79269,RH-8,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,,33.5,,Y16943,53.9,42
Thermus scotoductus,37636,SE-1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_000187005.1,64.9,2.4,AF032127,62.4,42
Desulfurella acetivorans,33002,Desulfurella acetivorans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,GCA_000517565.1,32.1,1.8,X72768,53.8,42
Desulfothermobacter acidiphilus,1938353,Amm 3408-1,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Desulfothermobacter,,58,,KY465722,61.2,42
Caldalkalibacillus uzonensis,353224,JW/WZ-YB58,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Caldalkalibacillus,,45,,DQ221694,57.9,42
Effusibacillus pohliae,232270,MP4,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Effusibacillus,,55.1,,AJ564766,59.4,42
Tepidiforma bonchosmolovskayae,2601677,3753O,Bacteria,Chloroflexi,,,,,GCA_008838325.1,69.9,2.7,MN264258,59.2,42
Methanomethylovorans thermophila,286152,L2FAW,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,,37.6,,AY672821,56.2,42
Anaerolinea thermolimosa,229919,IMO-1,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,,53.3,,AB109437,57,42
Fervidobacterium nodosum,2424,Rt17\B,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000017545.1,35,1.9,M59177,58.7,41
Desulfotomaculum thermocisternum,42471,ST90,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,,56,,U33455,58.6,41
Caldicellulosiruptor changbaiensis,1222016,CBS-Z,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_003999255.1,35.1,2.9,JX280492,58.2,40
Thermococcus sibiricus,172049,MM739,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000022545.1,40.2,1.8,AJ238992,65,40
Thermoanaerobacter acetoethylicus,2704, HTB2,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,31,,L09163,57.2,40
Thermus composti,532059,K-39,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,71.3,,EU701067,63.8,40
Thermus aquaticus,271,YT-1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_001399775.1,68,2.3,L09663,63,40
Thermolithobacter carboxydivorans,335383,R1,Bacteria,Firmicutes,Thermolithobacteria,Thermolithobacterales,Thermolithobacteraceae,Thermolithobacter,,52,,DQ095862,59.2,40
Carboxydothermus hydrogenoformans,129958,Z-2901,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,GCA_000012865.1,42,2.4,NR_074395,58.8,40
Thermus yunnanensis,266825,RHY12-2 ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,,,AY557603,62.5,40
Caldimicrobium thiodismutans,1653476,TF1,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,GCA_001548275.1,38.3,1.8,LC055107,61.3,40
Thermus arciformis,482827,TH92,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,68.3,,EU247889,63.2,40
Desulfurobacterium thermolithotrophum,64160,BSAT,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,GCA_000191045.1,34.9,1.5,AJ001049,61.2,40
Thermosipho globiformans,380685,MN14,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,31.7,,AB257289,60,40
Desulfurobacterium indicum,1914305,K6013,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,,38.2,,KT750866,61.4,40
Caldanaerobacter subterraneus,911092,ATCC BAA\225,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,GCA_000007085.1,37.6,2.7,AF195797,58.7,40
Methanobacterium thermaggregans,83982,DSM 3266,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,42,,AB679267,57.9,40
Methanothermobacter thermautotrophicus,145262,?H,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,GCA_000008645.1,49.5,1.8,X68720,57.9,40
Methanothermococcus okinawensis,155863,IH1 ,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,GCA_000179575.2,29.3,1.7,AB057722,59.1,40
Thermoanaerobacter brockii,29323,Thermoanaerobacter brockii,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,GCA_000175295.2,34.5,2.3,U14330,58.6,40
Polycladomyces subterraneus,1016997,KSR 13,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Polycladomyces,,53.4,,JF694784,60.4,40
