genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Tepidibacillus decaturensis,1413211,Z9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Tepidibacillus,,36.1,,NR_152058,54.9,20
Bacillus abyssalis,1221450,SCSIO 15042,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,43.1,,JX232168,55.6,20
Paramaledivibacter caminithermalis,191027,DVird3,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Paramaledivibacter,,33.1,,AF458779,53.4,20
Halorhabdus rudnickae,1775544,WSM-64,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,,61.2,,KT717623,60.2,20
Natranaerobaculum magadiense,929101,Z-1001,Bacteria,Firmicutes,Clostridia,Natranaerobiales,Natranaerobiaceae,Natranaerobaculum,,35.6,,HQ322118,56.6,20
Tepidisphaera mucosa,1546155,2842,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Tepidisphaera,,53,,KM036168,54.4,20
Alicyclobacillus acidiphilus,182455,TA-67,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,54.1,,AB076660,56.7,20
Natrialba hulunbeirensis,123783,X21,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,,64.3,,AF262026,57.6,20
Halobacterium salinarum,2242,NCR-1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,GCA_000006805.1,65.9,2.6,AJ496185,58.3,20
Hypnocyclicus thermotrophus,1627895,IR-2,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Hypnocyclicus,,25.7,,KP869170,49.5,20
Halopelagius longus,1236180,BC12-B1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halopelagius,,64.6,,JX518988,57.1,20
Actinomyces ruminicola,332524,Sh 13/4563,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,,66,,AJ234066,60.1,20
Methanococcus aeolicus,42879,Nankai-3,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,GCA_000017185.1,30,1.6,DQ195164,56.7,20
Methanosarcina flavescens,1715806,E03.2,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,,41.3,,KT828541,56.2,20
Natrinema salaciae,1186196,MDB25,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,,63,,JQ669385,57.7,20
Natrialba chahannaoensis,68911,C112,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,,63.7,,AJ004806,57.9,20
Haloferax volcanii,2246,DS2,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,GCA_000025685.1,65.5,4,K00421,56.9,20
Halomicrobium zhouii,767519,TBN51,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,,69.1,,HM063952,58.8,20
Salarchaeum japonicum,555573,YSM-79,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Salarchaeum,,64,,AB454051,57.9,20
Halomicrococcus hydrotolerans,2304676,H22,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomicrococcus,,62.9,,MG097857,58.7,20
Halobellus rufus,1448860,CBA1103,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,,67,,KF314040,57.4,20
Halorubrum rutilum,1364933,YJ-18-S1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,66.2,,KC918819,59.1,20
Natronoarchaeum mannanilyticum,926360,YSM-123,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronoarchaeum,,63,,AB501361,59.5,20
Halorubrum sfaxense,725131,ETD6,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,65.1,,GU724599,58.5,20
Halostagnicola alkaliphila,691825,167-74,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halostagnicola,,60.7,,AB533255,57.2,20
Haloferax alexandrinus,114529,TM,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,,59.5,,AB037474,56.8,20
Pelagirhabdus alkalitolerans,1612202,S5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pelagirhabdus,,40.8,,LN812018,54.5,20
Lampropedia cohaerens,1610491,CT6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Lampropedia,,63.5,,KP265299,55.7,20
Alkaliphilus hydrothermalis,1482730,FatMR1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,,37.1,,KJ159210,54.3,20
Desertibacillus haloalkaliphilus,1328930,KJ1-10-99,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Desertibacillus,,48.7,,KC989945,54.1,20
Aquisalibacillus elongatus,485577,SH4s,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Aquisalibacillus,,45.9,,AM911047,55.7,20
Paenibacillus thailandensis,393250,S3-4A,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,52.7,,AB265205,55.6,20
Paenibacillus motobuensis,295324,MC10,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,47,,AY741810,54,20
Bacillus sporothermodurans,46224,M215,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,36,,U49078,54.4,20
Alkalilimnicola halodurans,133194,34Alc,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,,65.6,,AJ404972,57.3,20
Halomarina salina,1872699,ZS-57-S,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,,67.1,,KC918832,59.4,20
Haloferax mediterranei,2252,R-4,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,GCA_000306765.2,60.3,3.9,D11107,56.3,20
Haloparvum alkalitolerans,1042953,MK62-1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Haloparvum,,70.1,,AB638839,58.2,20
Natronorubrum sulfidifaciens,388259,AD2,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,,60.9,,DQ535889,57.6,20
Brevibacillus fulvus,1125967,K2814 ,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,48.8,,AB688095,55.9,20
Alicyclobacillus fastidiosus,392011,S-TAB,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,53.9,,AB264021,57.3,20
Aneurinibacillus terranovensis,278991,LMG22483,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,,43.2,,AJ715385,57.4,20
Bacillus camelliae,1707093,28491,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,36,,KT438835,54.6,20
Alicyclobacillus tolerans,90970,K1,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,48.7,,AB222265,58.9,20
Halopelagius fulvigenes,1198324,YIM 94188,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halopelagius,,66.3,,JQ996497,57.4,20
Halorubrum litoreum,409316,Fa-1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,64.9,,EF028067,58.1,20
Natronoarchaeum persicum,1968283,WIIAL99,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronoarchaeum,,66.7,,LC221842,60.4,20
Ornithinibacillus halophilus,930117,G8B,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Ornithinibacillus,,36.9,,HQ433440,54.1,20
Paenibacillus cellulositrophicus,562959,P2-1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_009363095.1,53.1,7.4,FJ178001,55.5,20
Streptoalloteichus hindustanus,2017,ATCC 31217,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus,,,,D85497,59.5,20
Natrarchaeobius chitinivorans,1679083,AArcht4,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrarchaeobius,,62.1,,KT247962,56.8,20
Natrinema versiforme,88724,XF10,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,GCA_005576615.1,63.4,4.7,AB023426,58.3,20
Desulfurella amilsii,1562698,TR1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,,34,,LN624414,53.1,20
Haloarcula amylolytica,396317,BD-3,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,62.4,,NR_028229,57,20
Mizugakiibacter sediminis,1475481,skMP5,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Mizugakiibacter,,72,,AB917594,57.8,20
Thermithiobacillus tepidarius,929,DSM 3134,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Thermithiobacillaceae,Thermithiobacillus,,66.6,,AJ459801,58.3,20
Harryflintia acetispora,1849041,V20-281a,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Harryflintia,,62.2,,KU999999,53.3,20
Thiofaba tepidiphila,444162,BDA453,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Thiofaba,,66,,AB304258,55.5,20
Chelatococcus daeguensis,444444,K106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Chelatococcaceae,Chelatococcus,,68.3,,EF584507,56.9,20
Petrimonas mucosa,1642646,ING2-E5A,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas,GCA_900095795.1,48,3.7,KP233808,52.9,20
Halopolyspora alba,1348092,AFM 10251,Bacteria,Actinobacteria,Actinobacteria,,,Halopolyspora,,66.7,,KF022042,60.9,20
Bacillus andreesenii,1325932, 8-4-E13,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,39,,HF952774,54.6,20
Bacillus pervagus,1325931,8-4-E12 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,36.1,,HF952773,53.9,20
Cecembia calidifontis,1187080,RQ-33 ,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Cecembia,,40.5,,HE806326,54.7,20
Thermobifida halotolerans,483545,YIM 90462 ,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Thermobifida,,69,,EU250489,59.5,20
Haloarcula argentinensis,43776,arg-1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,62,,NR_028218,57,20
Halanaerobium sehlinense,1076695,1Sehel,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,,32.7,,JN381500,52.2,20
Nesterenkonia alba,515814, CAAS 252,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,,60.2,,EU566871,57.7,20
Halostella salina,1547897,CBA1114,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostella,,68.1,,KM068159,60.3,20
Salinarchaeum chitinilyticum,1395169,MC-74,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Salinarchaeum,,68.1,,AB850662,59.8,20
Halorubrum vacuolatum,63740,M24,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,62.7,,D87972,58.6,20
Halorubrum sodomense,35743,RD26,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,67.4,,D13379,58.5,20
Longibacter salinarum,1850348,WDS2C18,Bacteria,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Longibacter,,58.1,,KU954547,55.6,20
Rhodohalobacter halophilus,1812810,JZ3C29,Bacteria,Balneolaeota,Balneolia,Balneolales,Balneolaceae,Rhodohalobacter,,44.4,,KU862657,55.6,20
Bifidobacterium ramosum,1798158,TRE M ,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,63,,KU051447,59.6,20
Brevibacillus gelatini,1655277,PDF4,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,51.7,,KP899808,55,20
Alicyclobacillus dauci,1475485,4F,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,49.6,,AB916540,57.2,20
Alkaliphilus transvaalensis,114628, SAGM1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,,36.4,,AB037677,53.5,20
Halanaerobium lacusrosei,42859,H200,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,,32,,L39787,52.5,20
Halostella pelagica,2583824,DL-M4,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostella,GCA_005954745.1,63,3.9,MN480560,58.9,20
Halostella litorea,2528831,DLLS-108,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostella,,68.5,,MH062944,60,20
Halomarina rubra,2071873,ZS-47-S,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,,64.6,,KC918830,58.7,20
Methanoculleus sediminis,1550566,S3Fa,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,,62.3,,KM111600,56.4,20
Halolamina litorea,1515593,YJ-4,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,,61.4,,NR_146679,58.4,20
Halomicroarcula limicola,1429915,YGHS32,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicroarcula,,64,,KF582944,59.2,20
Halomicroarcula salina,1429914,YGHS18,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicroarcula,,64.5,,KF582943,58.4,20
Halolamina rubra,1380430,CBA1107,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,,65.1,,KF314044,58.5,20
Halobium salinum,1364940,YJ-8-S,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobium,,68.9,,KC918818,57.6,20
Halorussus salinus,1364935,YJ-37-H,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorussus,,64.9,,KC918821,57.7,20
Halopenitus salinus,1198295,SKJ47,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halopenitus,,65,,JQ937363,60.2,20
Haloplanus salinus,1126245,YGH66,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,,67.2,,JQ237126,58.8,20
Halorubrum rubrum,1126240,YC87,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,64.9,,JQ237124,58.3,20
Halobellus rarus,1126237,YC21,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,,66.1,,JQ237123,57.3,20
Halobellus inordinatus,1126236,YC20,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,,65.8,,JQ237122,58.6,20
Salinirubrum litoreum,1126234,XD46,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Salinirubrum,,65.3,,JQ237118,59.1,20
Salinarchaeum laminariae,869888,R26,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Salinarchaeum,,66.4,,HM159601,59.8,20
Salinigranum rubrum,755307,GX10,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Salinigranum,GCA_002906575.1,65.7,5,GU951431,58.8,20
Halogranum gelatinilyticum,660521,TNN44 ,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,,55.7,,GQ282624,57.4,20
Halogranum amylolyticum,660520,TNN58 ,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,,64,,GQ282623,57.7,20
Halorientalis regularis,660518,TNN28,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,,61.9,,GQ282621,59.3,20
Halogeometricum limi,555875,RO1-6,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,,61.2,,EU931577,57.2,20
Halopelagius inordinatus,553467,RO5-2,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halopelagius,,61,,EU887284,56.7,20
Halogranum rubrum,553466,RO2-11,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,,55.7,,EU887283,57.4,20
Methanospirillum hungatei,2203,JF1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,GCA_000013445.1,45.1,3.5,CP000254,55.9,20
Citrobacter europaeus,1914243,97/79,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,52,,LT615140,54.3,20
Paenibacillus yunnanensis,1538658,YN2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,51,,KJ914577,55.8,20
Balneicella halophila,1537566,KHALHBd91,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Balneicellaceae,Balneicella,,35,,LM999900,49.6,20
Salisediminibacterium haloalkalitolerans,1464123,10nlgT,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salisediminibacterium,,45.6,,HG934298,56.2,20
Clostridium oryzae,1450648,KC3,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,37.5,,AB904755,53.1,20
Corynebacterium timonense,441500,5401744,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,,,EF217055,56.2,20
Cohnella thailandensis,557557,S1-3,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,,53.3,,FJ001840,55.6,20
Cloacibacillus evryensis,508460,158,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,,55.8,,CU463952,55.8,20
Salsuginibacillus kocurii,427078,CH9d,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salsuginibacillus,,44.7,,AM492160,55.8,20
Aquisalimonas asiatica,406100,CG12,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Aquisalimonas,,63.6,,AM404263,56.5,20
Desulfocurvus vexinensis,399548,VNs36,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfocurvus,,67.2,,DQ841177,57.6,20
Desulfovibrio marinus,370038,E-2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,60.4,,DQ365924,57.9,20
Aneurinibacillus aneurinilyticus,1391,DSM5562,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,,42.9,,X94194,57.1,20
Halobacterium litoreum,2039234,ZS-54-S2,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,,66.7,,KC918831,58.6,20
Haloterrigena daqingensis,588898,JX313,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,GCA_001971705.1,61.3,3.8,FJ545273,58.4,20
Galenea microaerophila,1136073,P2D,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Galenea,,44.9,,JQ080912,53.6,20
Halomonas sinaiensis,379597,Sharm,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,64.7,,AM238662,56.1,20
Roseovarius salinarum,1981892,N53,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,68.1,,KY973962,55.9,20
Salibacter halophilus,1803916,JZ3C34T,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Salibacter,,39.6,,KU726562,51,20
Halorubrum laminariae,1433523,R60,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,63,,KF680551,58,20
Lysinibacillus endophyticus,1978490,C9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,,37.9,,KP334990,53.8,20
Brevibacillus borstelensis,45462,ATCC 51668,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,51.3,,AB112721,56.5,20
